author,clipID,country_code,duration,link,promoted,rank,songID,title,trend,urlTitle
ANDRI AR,7293480908785470213,MY,41,https://www.tiktok.com/music/x-7293480908785470213,False,1,7291608909717686274,Pulang Malu Tak Pulang Rindu,"[{'date': 1738972800, 'value': 0.01}, {'date': 1739577600, 'value': 0.27}, {'date': 1740182400, 'value': 0.69}, {'date': 1740787200, 'value': 1}, {'date': 1741392000, 'value': 0.35}, {'date': 1741996800, 'value': 0}, {'date': 1742601600, 'value': 0}, {'date': 1743206400, 'value': 0}, {'date': 1743811200, 'value': 0}, {'date': 1744416000, 'value': 0}, {'date': 1745020800, 'value': 0}, {'date': 1745625600, 'value': 0}, {'date': 1746230400, 'value': 0}, {'date': 1746835200, 'value': 0}, {'date': 1747440000, 'value': 0}, {'date': 1748044800, 'value': 0}]",Pulang-Malu-Tak-Pulang-Rindu
NIKI,7471581876642302736,MY,18,https://www.tiktok.com/music/x-7471581876642302736,False,2,7211342785792706561,You'll Be in My Heart,"[{'date': 1739577600, 'value': 0}, {'date': 1740182400, 'value': 0}, {'date': 1740787200, 'value': 0.09}, {'date': 1741392000, 'value': 0.17}, {'date': 1741996800, 'value': 0.57}, {'date': 1742601600, 'value': 1}, {'date': 1743206400, 'value': 0.68}, {'date': 1743811200, 'value': 0.1}, {'date': 1744416000, 'value': 0}, {'date': 1745020800, 'value': 0}, {'date': 1745625600, 'value': 0}, {'date': 1746230400, 'value': 0}, {'date': 1746835200, 'value': 0}, {'date': 1747440000, 'value': 0}, {'date': 1748044800, 'value': 0}]",You-ll-Be-in-My-Heart
Teko Bolado & mc pl alves & MK no Beat,7470555896424237830,MY,15,https://www.tiktok.com/music/x-7470555896424237830,False,3,7473232635902412816,Sobe Morro Desce Morro,"[{'date': 1739577600, 'value': 0}, {'date': 1740182400, 'value': 0}, {'date': 1740787200, 'value': 0}, {'date': 1741392000, 'value': 0.14}, {'date': 1741996800, 'value': 0.81}, {'date': 1742601600, 'value': 1}, {'date': 1743206400, 'value': 0.7}, {'date': 1743811200, 'value': 0.44}, {'date': 1744416000, 'value': 0.16}, {'date': 1745020800, 'value': 0}, {'date': 1745625600, 'value': 0}, {'date': 1746230400, 'value': 0}, {'date': 1746835200, 'value': 0}, {'date': 1747440000, 'value': 0}, {'date': 1748044800, 'value': 0}]",Sobe-Morro-Desce-Morro
TRXSHBXY & GAVORN,7476967923486067461,MY,24,https://www.tiktok.com/music/x-7476967923486067461,False,4,7490690839334569985,TUNG SAHUR,"[{'date': 1740787200, 'value': 0}, {'date': 1741392000, 'value': 0.22}, {'date': 1741996800, 'value': 1}, {'date': 1742601600, 'value': 0.8}, {'date': 1743206400, 'value': 0.58}, {'date': 1743811200, 'value': 0.91}, {'date': 1744416000, 'value': 0.67}, {'date': 1745020800, 'value': 0.12}, {'date': 1745625600, 'value': 0}, {'date': 1746230400, 'value': 0}, {'date': 1746835200, 'value': 0}, {'date': 1747440000, 'value': 0}, {'date': 1748044800, 'value': 0}]",TUNG-SAHUR
Quest Pistols,7479150542031489798,MY,16,https://www.tiktok.com/music/x-7479150542031489798,False,5,7489339785048475665,Різні,"[{'date': 1741392000, 'value': 0}, {'date': 1741996800, 'value': 0}, {'date': 1742601600, 'value': 0.01}, {'date': 1743206400, 'value': 0.07}, {'date': 1743811200, 'value': 0.46}, {'date': 1744416000, 'value': 0.45}, {'date': 1745020800, 'value': 0.73}, {'date': 1745625600, 'value': 0.46}, {'date': 1746230400, 'value': 1}, {'date': 1746835200, 'value': 0.4}, {'date': 1747440000, 'value': 0.11}, {'date': 1748044800, 'value': 0}]",Різні
Novo Amor,7387643783320324869,MY,16,https://www.tiktok.com/music/x-7387643783320324869,False,6,6703802904836311041,Anchor,"[{'date': 1738972800, 'value': 0}, {'date': 1739577600, 'value': 0}, {'date': 1740182400, 'value': 0}, {'date': 1740787200, 'value': 0}, {'date': 1741392000, 'value': 0}, {'date': 1741996800, 'value': 0}, {'date': 1742601600, 'value': 0}, {'date': 1743206400, 'value': 0}, {'date': 1743811200, 'value': 0}, {'date': 1744416000, 'value': 0}, {'date': 1745020800, 'value': 0}, {'date': 1745625600, 'value': 0.07}, {'date': 1746230400, 'value': 1}, {'date': 1746835200, 'value': 0}, {'date': 1747440000, 'value': 0}, {'date': 1748044800, 'value': 0}]",Anchor
Dj LK da Escócia,7443169877941095223,MY,19,https://www.tiktok.com/music/x-7443169877941095223,False,7,7450526410664855569,Bonde das Oncinhas,"[{'date': 1738972800, 'value': 0.68}, {'date': 1739577600, 'value': 1}, {'date': 1740182400, 'value': 0.41}, {'date': 1740787200, 'value': 0.14}, {'date': 1741392000, 'value': 0.13}, {'date': 1741996800, 'value': 0.09}, {'date': 1742601600, 'value': 0.04}, {'date': 1743206400, 'value': 0.04}, {'date': 1743811200, 'value': 0.14}, {'date': 1744416000, 'value': 0.06}, {'date': 1745020800, 'value': 0.03}, {'date': 1745625600, 'value': 0.03}, {'date': 1746230400, 'value': 0.03}, {'date': 1746835200, 'value': 0.05}, {'date': 1747440000, 'value': 0.02}, {'date': 1748044800, 'value': 0.02}]",Bonde-das-Oncinhas
SILET OPEN UP,7483815996303051536,MY,22,https://www.tiktok.com/music/x-7483815996303051536,False,8,7199944731327989762,Makin Tua Makin Jadi (Remastered 2023),"[{'date': 1742601600, 'value': 0.16}, {'date': 1743206400, 'value': 0.59}, {'date': 1743811200, 'value': 1}, {'date': 1744416000, 'value': 0.71}, {'date': 1745020800, 'value': 0.24}, {'date': 1745625600, 'value': 0}, {'date': 1746230400, 'value': 0}, {'date': 1746835200, 'value': 0}, {'date': 1747440000, 'value': 0}, {'date': 1748044800, 'value': 0}]",Makin-Tua-Makin-Jadi-Remastered-2023
Dandy Barakati & Dante Nababan,7495034600701299511,MY,15,https://www.tiktok.com/music/x-7495034600701299511,False,9,7493823485959227409,MODE PESAWAT,"[{'date': 1745020800, 'value': 0}, {'date': 1745625600, 'value': 0.14}, {'date': 1746230400, 'value': 1}, {'date': 1746835200, 'value': 0.38}, {'date': 1747440000, 'value': 0}, {'date': 1748044800, 'value': 0}]",MODE-PESAWAT
Raim Laode,7279604534079359750,MY,60,https://www.tiktok.com/music/x-7279604534079359750,False,10,7270029044434388993,Lesung Pipi,"[{'date': 1741996800, 'value': 0}, {'date': 1742601600, 'value': 0}, {'date': 1743206400, 'value': 0}, {'date': 1743811200, 'value': 0}, {'date': 1744416000, 'value': 0.47}, {'date': 1745020800, 'value': 1}, {'date': 1745625600, 'value': 0}, {'date': 1746230400, 'value': 0}, {'date': 1746835200, 'value': 0}, {'date': 1747440000, 'value': 0}, {'date': 1748044800, 'value': 0}]",Lesung-Pipi
Akbar Chalay,7500520563444239120,MY,64,https://www.tiktok.com/music/x-7500520563444239120,False,11,7504378488084547600,CLBK (Cinta Lama Bersemi Kembali),"[{'date': 1746835200, 'value': 1}, {'date': 1747440000, 'value': 0.47}, {'date': 1748044800, 'value': 0.01}]",CLBK-Cinta-Lama-Bersemi-Kembali
CYRIL & MOONLGHT & The La's,7424014547218565904,MY,22,https://www.tiktok.com/music/x-7424014547218565904,False,12,7503950818010335233,There She Goes,"[{'date': 1738972800, 'value': 0}, {'date': 1739577600, 'value': 0}, {'date': 1740182400, 'value': 0}, {'date': 1740787200, 'value': 0}, {'date': 1741392000, 'value': 0}, {'date': 1741996800, 'value': 0}, {'date': 1742601600, 'value': 0}, {'date': 1743206400, 'value': 0}, {'date': 1743811200, 'value': 0}, {'date': 1744416000, 'value': 0}, {'date': 1745020800, 'value': 0}, {'date': 1745625600, 'value': 0.07}, {'date': 1746230400, 'value': 0.32}, {'date': 1746835200, 'value': 1}, {'date': 1747440000, 'value': 0.41}, {'date': 1748044800, 'value': 0}]",There-She-Goes
TRXSHBXY & GAVORN,7484341008013658897,MY,17,https://www.tiktok.com/music/x-7484341008013658897,False,13,7484296639919065089,TUNG SAHUR FUNK (Ultra Slowed),"[{'date': 1742601600, 'value': 0}, {'date': 1743206400, 'value': 0.01}, {'date': 1743811200, 'value': 0.87}, {'date': 1744416000, 'value': 1}, {'date': 1745020800, 'value': 0.14}, {'date': 1745625600, 'value': 0}, {'date': 1746230400, 'value': 0}, {'date': 1746835200, 'value': 0}, {'date': 1747440000, 'value': 0}, {'date': 1748044800, 'value': 0}]",TUNG-SAHUR-FUNK-Ultra-Slowed
Blaiz Fayah & Maureen & Dj Glad,7463397880712170256,MY,22,https://www.tiktok.com/music/x-7463397880712170256,False,14,7469761656168597505,Money Pull Up - Slowed Version,"[{'date': 1738972800, 'value': 0.55}, {'date': 1739577600, 'value': 1}, {'date': 1740182400, 'value': 0.68}, {'date': 1740787200, 'value': 0.44}, {'date': 1741392000, 'value': 0.12}, {'date': 1741996800, 'value': 0}, {'date': 1742601600, 'value': 0}, {'date': 1743206400, 'value': 0}, {'date': 1743811200, 'value': 0}, {'date': 1744416000, 'value': 0}, {'date': 1745020800, 'value': 0}, {'date': 1745625600, 'value': 0}, {'date': 1746230400, 'value': 0}, {'date': 1746835200, 'value': 0}, {'date': 1747440000, 'value': 0}, {'date': 1748044800, 'value': 0}]",Money-Pull-Up-Slowed-Version
UdieNnx,7483218243951282950,MY,21,https://www.tiktok.com/music/x-7483218243951282950,False,15,7483246470474270736,STRUCT - Tiktok Version,"[{'date': 1742601600, 'value': 0}, {'date': 1743206400, 'value': 0.01}, {'date': 1743811200, 'value': 0.04}, {'date': 1744416000, 'value': 0.01}, {'date': 1745020800, 'value': 0.68}, {'date': 1745625600, 'value': 1}, {'date': 1746230400, 'value': 0}, {'date': 1746835200, 'value': 0}, {'date': 1747440000, 'value': 0}, {'date': 1748044800, 'value': 0}]",STRUCT-Tiktok-Version
TREASURE (트레저),7476117461797014288,MY,36,https://www.tiktok.com/music/x-7476117461797014288,False,16,7477799552327157761,사르르 (SARURU),"[{'date': 1740787200, 'value': 0.11}, {'date': 1741392000, 'value': 1}, {'date': 1741996800, 'value': 0.37}, {'date': 1742601600, 'value': 0}, {'date': 1743206400, 'value': 0}, {'date': 1743811200, 'value': 0}, {'date': 1744416000, 'value': 0}, {'date': 1745020800, 'value': 0}, {'date': 1745625600, 'value': 0}, {'date': 1746230400, 'value': 0}, {'date': 1746835200, 'value': 0}, {'date': 1747440000, 'value': 0}, {'date': 1748044800, 'value': 0}]",사르르-SARURU
PONCHET,7296136277207730178,MY,41,https://www.tiktok.com/music/x-7296136277207730178,False,17,7296137567610030082,พี่ชอบหนูที่สุดเลย (Speed Up),"[{'date': 1738972800, 'value': 0.67}, {'date': 1739577600, 'value': 1}, {'date': 1740182400, 'value': 0.98}, {'date': 1740787200, 'value': 0.8}, {'date': 1741392000, 'value': 0.84}, {'date': 1741996800, 'value': 0.83}, {'date': 1742601600, 'value': 0.93}, {'date': 1743206400, 'value': 0.79}, {'date': 1743811200, 'value': 0.8}, {'date': 1744416000, 'value': 0.76}, {'date': 1745020800, 'value': 0.83}, {'date': 1745625600, 'value': 0.76}, {'date': 1746230400, 'value': 0.81}, {'date': 1746835200, 'value': 0.86}, {'date': 1747440000, 'value': 0.98}, {'date': 1748044800, 'value': 0.9}]",พี่ชอบหนูที่สุดเลย-Speed-Up
Ogryzek,7387573619378046993,MY,60,https://www.tiktok.com/music/x-7387573619378046993,False,19,7387589448449476625,AURA,"[{'date': 1738972800, 'value': 0.43}, {'date': 1739577600, 'value': 0.78}, {'date': 1740182400, 'value': 0.5}, {'date': 1740787200, 'value': 0.16}, {'date': 1741392000, 'value': 0.4}, {'date': 1741996800, 'value': 0.46}, {'date': 1742601600, 'value': 0.13}, {'date': 1743206400, 'value': 0.46}, {'date': 1743811200, 'value': 0.13}, {'date': 1744416000, 'value': 0.21}, {'date': 1745020800, 'value': 0.18}, {'date': 1745625600, 'value': 0.54}, {'date': 1746230400, 'value': 1}, {'date': 1746835200, 'value': 0.6}, {'date': 1747440000, 'value': 0.74}, {'date': 1748044800, 'value': 0.31}]",AURA
LUCKI,7433378283725523728,MY,46,https://www.tiktok.com/music/x-7433378283725523728,False,20,7377946228044892176,RIP,"[{'date': 1738972800, 'value': 1}, {'date': 1739577600, 'value': 0.73}, {'date': 1740182400, 'value': 0.59}, {'date': 1740787200, 'value': 0.41}, {'date': 1741392000, 'value': 0.36}, {'date': 1741996800, 'value': 0.3}, {'date': 1742601600, 'value': 0.28}, {'date': 1743206400, 'value': 0.32}, {'date': 1743811200, 'value': 0.35}, {'date': 1744416000, 'value': 0.33}, {'date': 1745020800, 'value': 0.5}, {'date': 1745625600, 'value': 0.46}, {'date': 1746230400, 'value': 0.12}, {'date': 1746835200, 'value': 0}, {'date': 1747440000, 'value': 0}, {'date': 1748044800, 'value': 0}]",RIP
Hendro Engkeng,7459629439531010832,MY,14,https://www.tiktok.com/music/x-7459629439531010832,False,21,7458204716998739985,LUCU - (Remastered 2025),"[{'date': 1738972800, 'value': 1}, {'date': 1739577600, 'value': 0}, {'date': 1740182400, 'value': 0.01}, {'date': 1740787200, 'value': 0.01}, {'date': 1741392000, 'value': 0.02}, {'date': 1741996800, 'value': 0.01}, {'date': 1742601600, 'value': 0}, {'date': 1743206400, 'value': 0}, {'date': 1743811200, 'value': 0}, {'date': 1744416000, 'value': 0}, {'date': 1745020800, 'value': 0}, {'date': 1745625600, 'value': 0}, {'date': 1746230400, 'value': 0}, {'date': 1746835200, 'value': 0}, {'date': 1747440000, 'value': 0}, {'date': 1748044800, 'value': 0}]",LUCU-Remastered-2025
